"","mo","temp","NUM_COLLISIONS"
"191",1,35.9,0.361194029850746
"198",1,47.2,0.423880597014925
"212",1,27.3,0.319402985074627
"555",1,46.3,0.347560975609756
"576",1,38.8,0.326219512195122
"919",1,44,0.25531914893617
"926",1,40.9,0.473404255319149
"933",1,41.7,0.25
"940",1,31.2,0.218085106382979
"1283",1,38.2,0.461748633879781
"1290",1,43.2,0.677595628415301
"1297",1,34.4,0.133879781420765
"1661",1,31.6,0.0539845758354756
"1668",1,40.9,0.542416452442159
"1675",1,34,0.22879177377892
"2018",1,35,0.702631578947368
"2025",1,31.6,0.184210526315789
"2039",1,40.3,0.205263157894737
"2382",1,27.4,0.480314960629921
"2389",1,32.8,0.792650918635171
"2403",1,35.7,0.430446194225722
"219",2,29,0.456716417910448
"226",2,36.4,0.223880597014925
"240",2,37.5,0.26865671641791
"590",2,28.9,0.835365853658537
"597",2,24.3,0.265243902439024
"604",2,37.5,0.503048780487805
"947",2,33.1,0.73936170212766
"954",2,37.1,0.38563829787234
"968",2,29.4,0.457446808510638
"1311",2,47.6,0.775956284153005
"1318",2,36.4,0.188524590163934
"1332",2,41.8,0.5
"1339",2,47.8,0.502732240437158
"1682",2,37.5,0.287917737789203
"1689",2,35.9,0.478149100257069
"1703",2,39.1,0.215938303341902
"2046",2,42.5,0.66578947368421
"2053",2,45,0.236842105263158
"2417",2,30.7,0.438320209973753
"2424",2,32.8,0.0131233595800525
"2431",2,38.7,0.784776902887139
"247",3,37,0.588059701492537
"261",3,32.1,0.665671641791045
"268",3,38.1,0.292537313432836
"611",3,27.3,0.109756097560976
"625",3,28.5,0.350609756097561
"632",3,27.4,0.435975609756098
"639",3,37.8,0.472560975609756
"975",3,33.4,0.659574468085106
"982",3,35.6,0.688829787234043
"989",3,32.9,0.337765957446808
"996",3,27.2,0.48936170212766
"1003",3,36.8,0.409574468085106
"1353",3,43.8,0.568306010928962
"1360",3,37.4,0.505464480874317
"1367",3,45.1,0.617486338797814
"1710",3,28.9,0.416452442159383
"1717",3,21.9,0.863753213367609
"1724",3,39.2,0.755784061696658
"1731",3,42,0.444730077120823
"2074",3,37.8,0.428947368421053
"2081",3,36.7,0.594736842105263
"2088",3,30.5,0.613157894736842
"2095",3,36.4,0.676315789473684
"2438",3,37.9,0.267716535433071
"2445",3,41.7,0.640419947506562
"2452",3,34.5,0.456692913385827
"275",4,47,0.235820895522388
"296",4,43,0.492537313432836
"646",4,42,0.393292682926829
"653",4,52.2,0.335365853658537
"667",4,46.5,0.588414634146341
"1024",4,45.2,0.606382978723404
"1031",4,49,0.414893617021277
"1374",4,36.5,0.685792349726776
"1752",4,56.4,0.0822622107969152
"2109",4,36.3,0.452631578947368
"2116",4,44.7,0.757894736842105
"2123",4,46.4,0.58421052631579
"2130",4,46.2,0.534210526315789
"2466",4,41.8,0.52755905511811
"2480",4,52,0.671916010498688
"2494",4,47.8,0.430446194225722
"317",5,53.1,0.528358208955224
"324",5,57.5,0.770149253731343
"331",5,56.9,0.0597014925373134
"674",5,53.7,0.652439024390244
"681",5,57.8,0.539634146341463
"688",5,56.9,0.51219512195122
"695",5,56.7,0.0884146341463415
"1038",5,52.2,0.63563829787234
"1045",5,57.9,0.646276595744681
"1052",5,53.9,0.436170212765957
"1409",5,54,0.584699453551913
"1416",5,50.8,0.846994535519126
"1430",5,62.4,0.10655737704918
"1773",5,50,0.467866323907455
"1780",5,51.1,0.701799485861183
"2137",5,53,0.636842105263158
"2501",5,48.1,0.601049868766404
"2508",5,46.1,0.556430446194226
"2515",5,57.2,0.755905511811024
"2522",5,62.1,0.10761154855643
