"","day","mo","NUM_COLLISIONS"
"191",1,1,0.361194029850746
"198",1,1,0.423880597014925
"212",1,1,0.319402985074627
"555",1,1,0.347560975609756
"576",1,1,0.326219512195122
"919",1,1,0.25531914893617
"926",1,1,0.473404255319149
"933",1,1,0.25
"940",1,1,0.218085106382979
"1283",1,1,0.461748633879781
"1290",1,1,0.677595628415301
"1297",1,1,0.133879781420765
"1661",1,1,0.0539845758354756
"1668",1,1,0.542416452442159
"1675",1,1,0.22879177377892
"2018",1,1,0.702631578947368
"2025",1,1,0.184210526315789
"2039",1,1,0.205263157894737
"2382",1,1,0.480314960629921
"2389",1,1,0.792650918635171
"2403",1,1,0.430446194225722
"219",1,2,0.456716417910448
"226",1,2,0.223880597014925
"240",1,2,0.26865671641791
"590",1,2,0.835365853658537
"597",1,2,0.265243902439024
"604",1,2,0.503048780487805
"947",1,2,0.73936170212766
"954",1,2,0.38563829787234
"968",1,2,0.457446808510638
"1311",1,2,0.775956284153005
"1318",1,2,0.188524590163934
"1332",1,2,0.5
"1339",1,2,0.502732240437158
"1682",1,2,0.287917737789203
"1689",1,2,0.478149100257069
"1703",1,2,0.215938303341902
"2046",1,2,0.66578947368421
"2053",1,2,0.236842105263158
"2417",1,2,0.438320209973753
"2424",1,2,0.0131233595800525
"2431",1,2,0.784776902887139
"247",1,3,0.588059701492537
"261",1,3,0.665671641791045
"268",1,3,0.292537313432836
"611",1,3,0.109756097560976
"625",1,3,0.350609756097561
"632",1,3,0.435975609756098
"639",1,3,0.472560975609756
"975",1,3,0.659574468085106
"982",1,3,0.688829787234043
"989",1,3,0.337765957446808
"996",1,3,0.48936170212766
"1003",1,3,0.409574468085106
"1353",1,3,0.568306010928962
"1360",1,3,0.505464480874317
"1367",1,3,0.617486338797814
"1710",1,3,0.416452442159383
"1717",1,3,0.863753213367609
"1724",1,3,0.755784061696658
"1731",1,3,0.444730077120823
"2074",1,3,0.428947368421053
"2081",1,3,0.594736842105263
"2088",1,3,0.613157894736842
"2095",1,3,0.676315789473684
"2438",1,3,0.267716535433071
"2445",1,3,0.640419947506562
"2452",1,3,0.456692913385827
