"","temp","visib","wdsp","NUM_COLLISIONS"
"191",35.9,8.8,8.5,0.361194029850746
"198",47.2,1.3,8.2,0.423880597014925
"212",27.3,8.8,7.4,0.319402985074627
"555",46.3,2.5,14.8,0.347560975609756
"576",38.8,8.8,12.3,0.326219512195122
"919",44,7.6,16.3,0.25531914893617
"926",40.9,7.7,6.3,0.473404255319149
"933",41.7,8.2,13.5,0.25
"940",31.2,6.7,12.7,0.218085106382979
"1283",38.2,10,13.5,0.461748633879781
"1290",43.2,8.4,17.5,0.677595628415301
"1297",34.4,8.8,15.3,0.133879781420765
"1661",31.6,10,6.2,0.0539845758354756
"1668",40.9,8.8,18.6,0.542416452442159
"1675",34,9.7,6.5,0.22879177377892
"2018",35,9.9,18.3,0.702631578947368
"2025",31.6,9.1,15.4,0.184210526315789
"2039",40.3,6.9,12.1,0.205263157894737
"2382",27.4,10,17.4,0.480314960629921
"2389",32.8,10,15.3,0.792650918635171
"2403",35.7,9.8,11.3,0.430446194225722
"219",29,8.8,15.5,0.456716417910448
"226",36.4,7.6,9.8,0.223880597014925
"240",37.5,8.3,13.4,0.26865671641791
"590",28.9,9,9,0.835365853658537
"597",24.3,9.3,13.1,0.265243902439024
"604",37.5,9.7,10.3,0.503048780487805
"947",33.1,5.7,12.8,0.73936170212766
"954",37.1,6.3,14.9,0.38563829787234
"968",29.4,6,8.9,0.457446808510638
"1311",47.6,6.9,11.8,0.775956284153005
"1318",36.4,3.8,25.8,0.188524590163934
"1332",41.8,10,9.2,0.5
"1339",47.8,7.2,17,0.502732240437158
"1682",37.5,10,14.4,0.287917737789203
"1689",35.9,6.5,19.7,0.478149100257069
"1703",39.1,10,13.2,0.215938303341902
"2046",42.5,5.1,14.1,0.66578947368421
"2053",45,3.9,13.6,0.236842105263158
"2417",30.7,10,8.1,0.438320209973753
"2424",32.8,6.3,8,0.0131233595800525
"2431",38.7,8.4,24.3,0.784776902887139
"247",37,10,11.5,0.588059701492537
"261",32.1,10,9,0.665671641791045
"268",38.1,10,9.7,0.292537313432836
"611",27.3,5.8,11.2,0.109756097560976
"625",28.5,10,14.2,0.350609756097561
"632",27.4,10,13.4,0.435975609756098
"639",37.8,6.1,21.3,0.472560975609756
"975",33.4,6.8,10.9,0.659574468085106
"982",35.6,9.6,9.5,0.688829787234043
"989",32.9,9,17.1,0.337765957446808
